"ISO3","total_n","percent"
"USA",408,"48.40"
"CAN",68," 8.07"
"GBR",49," 5.81"
"MEX",39," 4.63"
"AUS",25," 2.97"
"PHL",25," 2.97"
"CHN",18," 2.14"
"JPN",16," 1.90"
"BRA",13," 1.54"
"PER",12," 1.42"
"ECU",11," 1.30"
"FRA",11," 1.30"
"COL",10," 1.19"
"NZL",10," 1.19"
"ISR",8," 0.95"
"ARG",7," 0.83"
"DNK",6," 0.71"
"WSM",6," 0.71"
"BOL",5," 0.59"
"CZE",5," 0.59"
"ESP",5," 0.59"
"HRV",5," 0.59"
"HUN",5," 0.59"
"KGZ",5," 0.59"
"HND",4," 0.47"
"KAZ",4," 0.47"
"MYS",4," 0.47"
"RUS",4," 0.47"
"VUT",4," 0.47"
"BGR",3," 0.36"
"IND",3," 0.36"
"KOR",3," 0.36"
"MKD",3," 0.36"
"SRB",3," 0.36"
"ARM",2," 0.24"
"CHL",2," 0.24"
"CRI",2," 0.24"
"DOM",2," 0.24"
"GRC",2," 0.24"
"IRL",2," 0.24"
"LUX",2," 0.24"
"NLD",2," 0.24"
"THA",2," 0.24"
"VNM",2," 0.24"
"AGO",1," 0.12"
"ARE",1," 0.12"
"BMU",1," 0.12"
"CUB",1," 0.12"
"FIN",1," 0.12"
"GTM",1," 0.12"
"ITA",1," 0.12"
"LVA",1," 0.12"
"MAR",1," 0.12"
"NCL",1," 0.12"
"PAK",1," 0.12"
"PAN",1," 0.12"
"SAU",1," 0.12"
"SGP",1," 0.12"
"UZB",1," 0.12"
"ZAF",1," 0.12"
