"ISO3","total_n","percent"
"USA",320,"43.18"
"CAN",67," 9.04"
"GBR",49," 6.61"
"MEX",39," 5.26"
"AUS",25," 3.37"
"PHL",25," 3.37"
"CHN",16," 2.16"
"JPN",15," 2.02"
"BRA",13," 1.75"
"PER",12," 1.62"
"ECU",11," 1.48"
"FRA",11," 1.48"
"COL",10," 1.35"
"NZL",10," 1.35"
"ISR",8," 1.08"
"ARG",6," 0.81"
"DNK",6," 0.81"
"WSM",6," 0.81"
"BOL",5," 0.67"
"CZE",5," 0.67"
"ESP",5," 0.67"
"HRV",5," 0.67"
"HUN",5," 0.67"
"KAZ",4," 0.54"
"KGZ",4," 0.54"
"MYS",4," 0.54"
"RUS",4," 0.54"
"BGR",3," 0.40"
"HND",3," 0.40"
"IND",3," 0.40"
"KOR",3," 0.40"
"MKD",3," 0.40"
"SRB",3," 0.40"
"ARM",2," 0.27"
"CHL",2," 0.27"
"DOM",2," 0.27"
"GRC",2," 0.27"
"IRL",2," 0.27"
"LUX",2," 0.27"
"NLD",2," 0.27"
"THA",2," 0.27"
"VNM",2," 0.27"
"AGO",1," 0.13"
"ARE",1," 0.13"
"BMU",1," 0.13"
"CRI",1," 0.13"
"CUB",1," 0.13"
"FIN",1," 0.13"
"GTM",1," 0.13"
"ITA",1," 0.13"
"LVA",1," 0.13"
"NCL",1," 0.13"
"PAK",1," 0.13"
"SAU",1," 0.13"
"SGP",1," 0.13"
"UZB",1," 0.13"
"VUT",1," 0.13"
