"country","issue_date","alert_title","alert_url","raw_place_name","start_issue_date"
"United States",2026-04-23,"Guam Pertussis Outbreak: Situation Report 04 (22 April 2026) - ...",NA,"Guam [USA]",1208
"United States",2026-04-11,"Guam confirms 1st pertussis outbreak - Outbreak News Today",NA,"Guam [USA]",1196
"United States",2026-04-10,"Pertussis outbreak confirmed as total cases rise to nine - kuam.com",NA,"Guam [USA]",1195
"Vanuatu",2026-04-10,"Vanuatu Pertussis Outbreak: Situation Report #17 as of 6 April 2026 - ...",NA,"Vanuatu",1195
"United States",2026-03-28,"26 Confirmed Cases Of Whooping Cough In Wyoming, Health Officials ...",NA,"Colorado, United States",1182
"United States",2026-03-28,"26 Confirmed Cases Of Whooping Cough In Wyoming, Health Officials ...",NA,"Wyoming, United States",1182
"United States",2026-03-26,"Pertussis cases in the Americas region see post-pandemic swing - ...",NA,"Massachusetts, United States",1180
"United States",2026-03-26,"Whooping cough cases rise to 7 - kuam.com",NA,"Guam [USA]",1180
"United States",2026-03-26,"7th case of pertussis confirmed, Public Health says 'all ages' need ...",NA,"Guam [USA]",1180
"United States",2026-03-22,"Guam pertussis tally rises to 6 - Substack",NA,"Guam [USA]",1176
"United States",2026-03-19,"Guam pertussis tally rises to 6 - Outbreak News Today",NA,"Guam [USA]",1173
"United States",2026-03-19,"Two more whooping cough cases confirmed - kuam.com",NA,"Guam [USA]",1173
"United States",2026-03-18,"DPHSS Confirms Two New Cases of Pertussis in Guam - ReliefWeb",NA,"Guam [USA]",1172
"Honduras",2026-03-14,"Honduras reports rise in pertussis cases, deaths - Outbreak News Today",NA,"Honduras",1168
"United States",2026-03-12,"26 Confirmed Cases Of Whooping Cough In Wyoming, Health Officials ...",NA,"Wyoming, United States",1166
"United States",2026-03-12,"Pertussis spread in Wyoming - Outbreak News Today",NA,"Wyoming, United States",1166
"United States",2026-03-05,"4th case of pertussis confirmed - The Guam Daily Post",NA,"Guam [USA]",1159
"United States",2026-03-02,"Wayne County Health Department Confirms First Pertussis Cases Of ...",NA,"North Carolina, United States",1156
"Morocco",2026-02-18,"Pertussis–SARS-CoV-2 Co-infection in Infants at Mohammed VI ...",NA,"Morocco",1144
