"country","issue_date","alert_title","alert_url","raw_place_name","start_issue_date"
"Vanuatu",2026-02-18,"Whooping cough claims 7 in Vanuatu - Islands Business",NA,"Vanuatu",1144
"United States",2026-02-17,"Cascade County confirms pertussis case - KRTV",NA,"Cascade County, Montana, United States",1143
"Vanuatu",2026-02-16,"Vanuatu whooping cough death toll rises to seven - RNZ",NA,"Vanuatu",1142
"China",2026-02-12,"Taiwan confirms 1st pertussis case of year in infant - Taiwan News",NA,"Taiwan",1138
"United States",2026-02-02,"Health Department confirms fourth pertussis case - WV News",NA,"West Virginia, United States",1128
"United States",2026-01-29,"Pertussis case in Walla Walla County - elkhornmediagroup.com",NA,"Washington State, United States",1124
"United States",2026-01-28,"Pertussis cases on the rise in Coos County - theworldlink.com",NA,"Oregon, United States",1123
"Japan",2026-01-26,"Localized Outbreak of Macrolide-Resistant Pertussis in Infants, ...",NA,"Japan",1121
"United States",2026-01-24,"Guam reports two more pertussis cases in 2026 - Outbreak News Today",NA,"Guam [USA]",1119
"United States",2026-01-23,"Public Health confirms two new Pertussis cases - kuam.com",NA,"Guam [USA]",1118
"Kyrgyzstan",2026-01-14,"Rising pertussis cases among older children in Kyrgyzstan: 10-year ...",NA,"Kyrgyzstan",1109
"United States",2026-01-13,"1st pertussis case of year confirmed - The Guam Daily Post",NA,"Guam [USA]",1108
"United States",2026-01-13,"Public Health confirms first pertussis case of 2026 - kuam.com",NA,"Guam [USA]",1108
"United States",2026-01-10,"Florida ends the year reporting 113% increase in pertussis, Cases ...",NA,"Florida, United States",1105
"United States",2026-01-09,"Minnesota reports first pertussis cases of 2026 - Outbreak News Today",NA,"Minnesota, United States",1104
"United States",2026-01-08,"Mississippi health officials warn of rising pertussis cases - MSN",NA,"Mississippi, United States",1103
"United States",2026-01-05,"Floyd County reports 21 cases of pertussis as whooping cough spreads ...",NA,"Kentucky, United States",1100
"United States",2026-01-04,"Florida ends the year reporting 113% increase in pertussis, Cases ...",NA,"Florida, United States",1099
"United States",2026-01-01,"Deaths from this entirely preventable disease are rising — as cases ...",NA,"United States",1096
"United States",2026-01-01,"Deaths from this entirely preventable disease are rising — as cases ...",NA,"New York State, United States",1096
"United States",2025-12-31,"17 cases of whooping cough confirmed in Floyd County - WKYT",NA,"Kentucky, United States",1095
"United States",2025-12-31,"Arkansas reports highest pertussis cases in 15 years - Yahoo News ...",NA,"Arkansas, United States",1095
"Canada",2025-12-31,"Arkansas reports highest pertussis cases in 15 years - Yahoo News ...",NA,"Canada",1095
"United States",2025-12-30,"Polk County Continues to See Elevated Pertussis Activity - Polk ...",NA,"Iowa, United States",1094
"United States",2025-12-30,"US Pertussis Cases Surge Over 25,000 Amid Vaccination Decline - Букви",NA,"United States",1094
"United States",2025-12-25,"What is Pertussis and Why Kids are Dying from It - thecitizen.com",NA,"Kentucky, United States",1089
"United States",2025-12-20,"What is Pertussis and Why Kids are Dying from It - Peachtree City ...",NA,"Kentucky, United States",1084
"United States",2025-12-19,"Health Department Confirms third pertussis case - WV News",NA,"West Virginia, United States",1083
"United States",2025-12-19,"What is Pertussis and Why Kids are Dying from It - TheCitizen.com",NA,"Kentucky, United States",1083
"United States",2025-12-18,"3,500 cases of pertussis reported already this year! - Click2Houston",NA,"Texas, United States",1082
"United States",2025-12-18,"Five Cases of Whooping Cough This Year in Floyd County - 103.9 The ...",NA,"Kentucky, United States",1082
"United States",2025-12-17,"GCPS update provided on pertussis cases - WV News",NA,"West Virginia, United States",1081
"United States",2025-12-16,"Health Department confirms second pertussis case - WV News",NA,"West Virginia, United States",1080
"United States",2025-12-12,"Health Department reports eight confirmed pertussis cases at Preston ...",NA,"West Virginia, United States",1076
"United States",2025-12-12,"Oregon Reports Record-High Pertussis Cases, Health Officials Urge ...",NA,"Oregon, United States",1076
"United States",2025-12-11,"Whooping Cough Cases in Oregon Surpass Annual Record - Willamette Week",NA,"Oregon, United States",1075
"United States",2025-12-11,"'Record high' pertussis cases in Oregon - newportnewstimes.com",NA,"Oregon, United States",1075
"United States",2025-12-11,"Whooping Cough Cases Set Record - Z100 Portland",NA,"Oregon, United States",1075
"United States",2025-12-11,"Whooping Cough Cases Set Record - News Radio 1190 KEX",NA,"Oregon, United States",1075
"China",2025-12-07,"Co-infection in pediatric pertussis during 2023 and 2024 in southern ...",NA,"China",1071
"United States",2025-12-05,"Pertussis in Other Countries - Centers for Disease Control and ...",NA,"United States",1069
"United States",2025-12-04,"Pertussis in the US: Cases down 20% in first 10 months - Outbreak ...",NA,"United States",1068
"United States",2025-12-03,"DPHSS: Local pertussis cases climb to 7 - The Guam Daily Post",NA,"Guam [USA]",1067
"United States",2025-12-02,"Guam reports two additional pertussis cases, brings total to 7 - ...",NA,"Guam [USA]",1066
"United States",2025-12-02,"2 new confirmed whooping cough cases on Guam, bringing total to 7 ...",NA,"Guam [USA]",1066
"United States",2025-12-01,"Whooping Cough cases on the rise in Austin area - Dripping Springs ...",NA,"Texas, United States",1065
"United States",2025-11-30,"Third Kentucky infant dies from whooping cough in 12 months - ...",NA,"Kentucky, United States",1064
"United States",2025-11-26,"Kentucky Confirms Third Infant Death From Pertussis - WOMI Owensboro",NA,"Kentucky, United States",1060
"United States",2025-11-26,"More than 25,000 whooping cough cases reported this year as Kentucky ...",NA,"Kentucky, United States",1060
"United States",2025-11-26,"West Virginia health officials warn of rising Pertussis cases - WOWK ...",NA,"West Virginia, United States",1060
"United States",2025-11-25,"Third infant pertussis death reported in KY in 12 months - Eyewitness ...",NA,"Kentucky, United States",1059
"United States",2025-11-24,"Third infant pertussis death reported in Kentucky in 12 months; ...",NA,"Kentucky, United States",1058
"United States",2025-11-24,"Kentucky Cabinet for Health and Human Services reports third infant ...",NA,"Kentucky, United States",1058
"United States",2025-11-24,"Texas Reports Spike in Whooping Cough Cases, Health Alert Issued for ...",NA,"Texas, United States",1058
"United States",2025-11-21,"Whooping cough cases up 58% in Austin-Travis County compared to 2024: ...",NA,"Texas, United States",1055
"United States",2025-11-21,"DPHSS confirms 1 new case of pertussis on Guam, 5th case this year - ...",NA,"Guam [USA]",1055
"United States",2025-11-21,"Pertussis outbreak surges in US, jumps 25-fold since 2023; Is it ...",NA,"United States",1055
"United States",2025-11-20,"County reports slowing flu, few COVID and RSV deaths; pertussis cases ...",NA,"Cascade County, Montana, United States",1054
"United States",2025-11-19,"Whooping Cough Cases Skyrocket in Texas - ksstradio.com",NA,"Texas, United States",1053
"United States",2025-11-18,"Whooping Cough Cases In Texas Quadrupled In Number Since Last Year - ...",NA,"Texas, United States",1052
"United States",2025-11-17,"Austin continues to see whooping cough cases amid statewide spike - ...",NA,"Texas, United States",1051
"United States",2025-11-17,"Spike in whooping cough cases reported in Outagamie County, 7 ...",NA,"Virginia, United States",1051
"United States",2025-11-17,"The Number of Whooping Cough Cases in Texas Is the Highest It’s Been ...",NA,"Texas, United States",1051
"United States",2025-11-15,"County reports slowing flu, few COVID and RSV deaths; pertussis cases ...",NA,"Cascade County, Montana, United States",1049
"United States",2025-11-15,"Whooping cough cases rise in Midland, 10x increase reported - CBS7",NA,"Texas, United States",1049
"United States",2025-11-14,"HEALTH MINUTE: NUMBER OF PERTUSSIS CASES CONCERNING - KTBS 3",NA,"Louisiana, United States",1048
"Panama",2025-11-13,"Panama Warns Costa Rica of Whooping Cough Outbreak in Border Region - ...",NA,"Panama",1047
"Costa Rica",2025-11-13,"Panama Warns Costa Rica of Whooping Cough Outbreak in Border Region - ...",NA,"Costa Rica",1047
"United States",2025-11-13,"Whooping Cough Cases In Texas Quadrupled In Number Since Last Year - ...",NA,"Texas, United States",1047
"United States",2025-11-13,"Two infants die as Texas sees 11-year high in whooping cough cases - ...",NA,"Texas, United States",1047
"United States",2025-11-12,"Whooping Cough Cases Skyrocket in Texas - Ksst Radio",NA,"Texas, United States",1046
"United States",2025-11-12,"Whooping cough cases skyrocket in Texas, quadrupling last year's ...",NA,"Texas, United States",1046
"United States",2025-11-12,"11 cases of whooping cough confirmed in Fayette County since early ...",NA,"United States",1046
"United States",2025-11-11,"The number of whooping cough cases in Texas is the highest it’s been ...",NA,"Texas, United States",1045
"United States",2025-11-07,"Whooping cough cases rising in West Virginia - WSAZ",NA,"West Virginia, United States",1041
"South Africa",2025-11-06,"Increase in pertussis cases in South Africa (alert) - NICD",NA,"South Africa",1040
"United States",2025-11-05,"Pertussis Cases in Texas Increase Over 80% - Vax-Before-Travel",NA,"Texas, United States",1039
"United States",2025-11-04,"Health officials warn of rising pertussis cases in Texas - CBS7",NA,"Texas, United States",1038
"United States",2025-11-04,"Texas Issues a Health Alert as More Than 3,500 Pertussis (Whooping ...",NA,"Texas, United States",1038
"United States",2025-11-04,"Whooping cough cases soar in Texas, quadrupling last year's count - ...",NA,"Texas, United States",1038
"United States",2025-11-02,"Colorado Confirms Pertussis Outbreak in Fort Collins - ...",NA,"Colorado, United States",1036
"United States",2025-10-30,"Austin Public Health warns of whooping cough rise; six cases tied to ...",NA,"Texas, United States",1033
"Argentina",2025-10-25,"Outbreak of whooping cough in Ushuaia, Argentina, confirmed on ...",NA,"Argentina",1028
"United States",2025-10-14,"Guam reports 4th pertussis case of 2025 - Outbreak News Today",NA,"Guam [USA]",1017
"United States",2025-07-31,"Public Health confirms July case of pertussis: unvaccinated infant - ...",NA,"Guam [USA]",942
"United States",2025-05-30,"Public Health confirms 1 case of pertussis on Guam - guampdn.com",NA,"Guam [USA]",880
"United States",2025-05-30,"Public Health confirms 1 case of pertussis on Guam - guampdn.com",NA,"Guam [USA]",880
"United States",2024-09-20,"Guam now has 2nd case of highly infectious whooping cough - Pacific ...",NA,"Guam [USA]",628
"United States",2024-09-11,"Guam now has 1 case of highly contagious whooping cough - Pacific ...",NA,"Guam [USA]",619
"United States",2024-05-15,"Measles and pertussis in the region - KUAM.com - KUAM.com",NA,"Guam [USA]",500
"Brazil",2025-10-11,"Brazil reports whooping cough outbreak in young children with deaths ...",NA,"Brazil",1014
"Brazil",2025-05-23,"Whooping cough: Southern region already records 567 cases of the ...",NA,"Brazil",873
"United States",2025-10-10,"Whooping cough case confirmed at Woodland Junior High School in ...",NA,"Oregon, United States",1013
"United States",2025-06-19,"Whooping cough cases up in Oregon, Washington for the first half of ...",NA,"Oregon, United States",900
"United States",2025-01-11,"Oregon health Q&A: 2 questions about pertussis (whooping cough) - ...",NA,"Oregon, United States",741
"United States",2024-12-30,"Oregon ends year with highest whooping cough case count in 74 years - ...",NA,"Oregon, United States",729
"United States",2024-12-07,"Pertussis case count expected to beat record, alarms Oregon public ...",NA,"Oregon, United States",706
"United States",2024-11-26,"Weds 9:25 | Outbreak of whooping cough in Oregon on record-setting ...",NA,"Oregon, United States",695
"United States",2024-11-14,"Oregon To Break Whooping Cough Record - iHeart",NA,"Oregon, United States",683
"United States",2024-10-11,"800+ cases of whooping cough in WA, 600+ in OR - Fox 12 Oregon",NA,"Oregon, United States",649
"United States",2024-06-11,"Sharp rise in pertussis cases prompts public health warning - The ...",NA,"Oregon, United States",527
"United States",2024-05-30,"Whooping cough, highly dangerous to babies, spikes 770% in Oregon, ...",NA,"Oregon, United States",515
"United States",2025-10-09,"Forgotten Cough Returns: Whooping Cough Cases Surges Across Florida ...",NA,"Florida, United States",1012
"United States",2025-10-08,"Whooping cough cases soar in Florida, state records show - ...",NA,"Florida, United States",1011
"Brazil",2025-10-03,"Acre is among the few states without whooping cough cases in 2025, ...",NA,"Acre, Brazil",1006
"Brazil",2025-10-03,"Acre is among the few states without whooping cough cases in 2025, ...",NA,"Acre, Brazil",1006
"Kyrgyzstan",2025-10-08,"Kyrgyzstan sees rise in pertussis cases - AKIpress News Agency",NA,"Kyrgyzstan",1011
"Kyrgyzstan",2025-05-20,"Whooping cough: Half of infected in Kyrgyzstan - children under 12 ...",NA,"Kyrgyzstan",870
"Kyrgyzstan",2024-06-26,"Kyrgyzstan registers more than 1700 cases of whooping cough in five ...",NA,"Kyrgyzstan",542
"Kyrgyzstan",2024-04-24,"Kyrgyzstan registers 1118 cases of whooping cough in four months - ...",NA,"Kyrgyzstan",479
"Vanuatu",2025-10-07,"Vanuatu pertussis outbreak rises to 270 cases - Outbreak News Today",NA,"Tanna, Tafea, Vanuatu",1010
"United States",2025-10-04,"Mississippi reports 135% increase in pertussis, Infant death - ...",NA,"Mississippi, United States",1007
"United States",2025-10-01,"Quick takes: Mississippi pertussis death, fatal New York EEE case, ...",NA,"Mississippi, United States",1004
"United States",2025-09-29,"New warning for whooping cough after first MS death in over 12 years ...",NA,"Mississippi, United States",1002
"United States",2025-09-30,"Mississippi reports first pertussis death in over a decade as cases ...",NA,"Mississippi, United States",1003
"United States",2025-09-29,"Mississippi infant younger than 2 months dies from whooping cough. ...",NA,"Mississippi, United States",1002
"United States",2025-09-29,"Health officials report Mississippi’s first whooping cough death of ...",NA,"Mississippi, United States",1002
"United States",2025-07-22,"Mississippi Health Alert Confirms 80 Pertussis Cases - ...",NA,"Mississippi, United States",933
"United States",2025-07-16,"Mississippi whooping cough cases surge by over 60% in 2025; Health ...",NA,"Mississippi, United States",927
"United States",2025-07-16,"MSDH reports 80 cases of whooping cough across the state - WXXV News ...",NA,"Mississippi, United States",927
"United States",2025-07-16,"Mississippi whooping cough cases surge by over 60% in 2025; Health ...",NA,"Mississippi, United States",927
"United States",2025-07-16,"Mississippi health officials warn of rising pertussis cases - WAPT",NA,"Mississippi, United States",927
"United States",2025-05-19,"Mississippi reports increase in whooping cough cases - WJTV",NA,"Mississippi, United States",869
"United States",2025-05-13,"Pertussis cases increasing in Mississippi and across the country - ...",NA,"Mississippi, United States",863
"United States",2025-01-29,"EPCPH: Jenkins MS students affected by pertussis outbreak - ...",NA,"Mississippi, United States",759
"United States",2025-10-01,"Quick takes: Mississippi pertussis death, fatal New York EEE case, ...",NA,"New York State, United States",1004
"United States",2024-11-21,"Whooping cough cases spike across New York and other states - MSN",NA,"New York State, United States",690
"United States",2024-11-08,"Tompkins County sees rise in whooping cough and walking pneumonia ...",NA,"New York State, United States",677
"United States",2024-10-01,"Whooping Cough On The Rise In NY: What To Know About Pertussis - Patch",NA,"New York State, United States",639
"United States",2024-09-09,"Whooping cough outbreak in New York: cases up 300% in a year - ...",NA,"New York State, United States",617
"United States",2024-01-03,"Whooping cough is spreading in New York schools: What to know - ...",NA,"New York State, United States",367
"United States",2023-08-11,"Whooping Cough Outbreak Reported In Upstate New York, HV - Hudson ...",NA,"New York State, United States",222
"United States",2023-08-10,"More kids contracting whooping cough in New York county prompts ...",NA,"New York State, United States",221
"Cuba",2025-10-01,"Quick takes: Mississippi pertussis death, fatal New York EEE case, ...",NA,"Cuba",1004
"Chile",2025-09-25,"Resurgence of Whooping Sore: The Causes Behind the Epidemiological ...",NA,"Chile",998
"Chile",2025-05-31,"German School of Santiago reported a positive case of whooping cough ...",NA,"Chile",881
"France",2025-09-25,"Whooping cough, measles, chikungunya: should we fear new epidemics? - ...",NA,"France",998
"France",2025-05-07,"20 children already dead: Whooping cough epidemic in France - MSN",NA,"France",857
"France",2024-08-02,"Resurgence of Bordetella pertussis, including one ...",NA,"France",579
"France",2024-07-30,"Whooping cough epidemic in France - Blick.ch",NA,"France",576
"France",2024-07-08,"17 deaths since January: why whooping cough is exploding in France - ...",NA,"France",554
"France",2024-06-28,"Whooping cough: 17 deaths including 14 children in France since the ...",NA,"France",544
"France",2024-06-28,"Whooping cough: 12 infant deaths in France since the start of 2024 - ...",NA,"France",544
"France",2024-06-28,"Whooping cough: 14 children have died from the disease in France ...",NA,"France",544
"France",2024-06-28,"Whooping cough: 12 infant deaths in France since the start of 2024 - ...",NA,"France",544
"France",2024-06-28,"Whooping cough: 14 child deaths in France since the start of the ...",NA,"France",544
"France",2024-06-05,"Pertussis cases soar in France, rise in Europe - EURACTIV",NA,"France",521
"India",2025-09-18,"Emergence of Bordetella holmesii–Associated Pertussis-Like Illness, ...",NA,"India",991
"India",2023-02-09,"Two Adults Found Infected With Rare Whooping Cough Causing Bacteria | ...",NA,"India",39
"Luxembourg",2025-09-19,"Significant increase in cases of flu and whooping cough recorded in ...",NA,"Luxembourg",992
"Luxembourg",2024-02-23,"Luxembourg / â€œA highly contagious diseaseâ€: 46 cases of whooping ...",NA,"Luxembourg",418
"United States",2024-11-06,"Provider Alert: Pertussis Cases Continue to Increase in Washington ...",NA,"Washington, DC, United States",675
"United States",2024-05-13,"Health Advisory: Increase in Pertussis Cases in several Washington ...",NA,"Washington, DC, United States",498
"United States",2024-09-27,"Increase in Pertussis Cases in the District of Columbia",NA,"Washington, DC, United States",635
"United States",2024-12-03,"Increase in Pertussis Cases in the District of Columbia",NA,"Washington, DC, United States",702
"United States",2025-06-19,"Whooping cough cases up in Oregon, Washington for the first half of ...",NA,"Washington, DC, United States",900
"United States",2025-03-25,"Whooping cough hits school-aged children in Washington - Axios",NA,"Washington, DC, United States",814
"United States",2024-11-18,"Health Alert: Pertussis Increasing in Washington - Tacoma-Pierce ...",NA,"Washington, DC, United States",687
"United States",2024-11-16,"Whooping cough resurgence reported in DC region and nationwide - WTOP",NA,"Washington, DC, United States",685
"United States",2024-11-08,"Washington reports nearly 1,200 whooping cough cases so far this ...",NA,"Washington, DC, United States",677
"United States",2025-09-06,"New Hampshire sees spike in whooping cough cases - Valley News",NA,"New Hampshire, United States",979
"United States",2025-09-09,"Whooping cough cases surge in Washoe County amid national rise - KRXI",NA,"United States",982
"United States",2025-09-05,"The origins of the flesh-eating bacteria stalking the US coast - ...",NA,"United States",978
"United States",2025-08-27,"Pertussis Cases Set New Highs As Vaccinations Deacrease in the ...",NA,"United States",969
"United States",2025-05-28,"First case of whooping cough in Piura: Authorities confirm infection ...",NA,"United States",878
"United States",2025-05-12,"Third case of whooping cough reported at Rostraver Elementary School ...",NA,"United States",862
"United States",2025-05-06,"Cases of whooping cough and COVID-19 increase - Taipei Times",NA,"United States",856
"United States",2025-05-04,"Alert for whooping cough surge in the US: six infants among the ten ...",NA,"United States",854
"United States",2025-04-25,"Whooping cough cases are twice as high as last year: CDC - New York ...",NA,"United States",845
"United States",2025-04-08,"Lumberton School District confirms cases of Pertussis - MSN",NA,"United States",828
"United States",2025-01-30,"Flu, COVID-19 and whooping cough down, norovirus still up - MPR News",NA,"United States",760
"United States",2025-01-21,"Whooping cough outbreak infects wrestlers and others at Tri-Cities ...",NA,"United States",751
"United States",2025-01-20,"High Activity For Influenza, COVID, RSV, & Whooping Cough - WHMI",NA,"United States",750
"United States",2024-12-31,"Whooping Cough Is Increasing in the Aftermath of the COVID-19 ...",NA,"United States",730
"United States",2024-12-26,"Whooping cough cases surging across US - WSOC Charlotte",NA,"United States",725
"United States",2024-12-17,"Hardin County Judge confirms whooping cough 'outbreak' after at least ...",NA,"United States",716
"United States",2024-12-20,"Whooping cough, norovirus, COVID and more: Winter, holidays bring ...",NA,"United States",719
"United States",2024-12-17,"Lumberton School District confirms cases of Pertussis - Beaumont ...",NA,"United States",716
"United States",2024-12-12,"Two cases of whooping cough confirmed at Kodiak schools - KMXT",NA,"United States",711
"United States",2024-12-09,"Impact of the COVID-19 Pandemic on Adult Pertussis Vaccination ...",NA,"United States",708
"United States",2024-12-05,"Gathering for the holidays? Hereâ€™s what to know about rising cases ...",NA,"United States",704
"United States",2024-11-26,"Health officials voice concern about surge in measles and whooping ...",NA,"United States",695
"United States",2024-11-14,"Pertussis Surveillance and Trends | Whooping Cough - CDC",NA,"United States",683
"United States",2024-11-05,"Whooping Cough Cases Are Spiking, CDC Warns - Daily Voice",NA,"United States",674
"United States",2024-10-30,"Parents asked to monitor children after Oak Hills student diagnosed ...",NA,"United States",668
"United States",2024-10-30,"Flu, COVID-19, RSV, And Whooping Cough: St. Maryâ€™s Health ...",NA,"United States",668
"United States",2024-10-15,"CDC reports alarming increase in whooping cough and walking pneumonia ...",NA,"United States",653
"United States",2024-10-18,"Whooping cough cases surge in US, Europe post-COVID pandemic - ...",NA,"United States",656
"United States",2024-10-11,"Whitman County reports 18 cases of pertussis, all among WSU students ...",NA,"United States",649
"United States",2024-10-11,"Worst U.S. whooping cough outbreak in a decade has infected thousands ...",NA,"United States",649
"United States",2024-10-04,"COVID vaccines, RSV, and whooping cough: What to know - TODAY",NA,"United States",642
"United States",2024-10-04,"How to stay healthy this fall: vaccines, RSV, and whooping cough - ...",NA,"United States",642
"United States",2024-10-03,"COVID, RSV, flu and whooping cough vaccines available now - Sanford ...",NA,"United States",641
"United States",2024-09-30,"Winnebago County reports 21 confirmed cases of pertussis - WBAY",NA,"United States",638
"United States",2024-09-25,"What is whooping cough? - Medical Xpress",NA,"United States",633
"United States",2024-09-25,"Two Cases of Whooping Cough Reported Among WSU Student Population - ...",NA,"United States",633
"United States",2024-09-19,"Number of COVID and pertussis cases rising in Eau Claire - WQOW TV ...",NA,"United States",627
"United States",2024-09-18,"Medford School District sends Health Dept. advisory about whooping ...",NA,"United States",626
"United States",2024-09-06,"Whooping cough outbreak: Infections have quadrupled in U.S. - ...",NA,"United States",614
"United States",2024-06-27,"Outbreak of Chickenpox reported in Warden, whooping cough cases ...",NA,"United States",543
"United States",2024-06-19,"More cases confirmed in Lexington whooping cough outbreak - WKYT",NA,"United States",535
"United States",2024-06-07,"Whooping cough cases increasing across the U.S., CDC says - FOX13 ...",NA,"United States",523
"United States",2024-06-03,"Whooping Cough Cases Rising Across The US - Videos from The Weather ...",NA,"United States",519
"United States",2024-05-29,"Nine cases of whooping cough confirmed at Valley View schools - ...",NA,"United States",514
"United States",2024-05-20,"Uptake of flu, whooping cough, and COVID-19 vaccines remains low ...",NA,"United States",505
"United States",2024-05-20,"Lexington Health Department reports whooping cough outbreak, more ...",NA,"United States",505
"United States",2024-05-15,"Whooping cough outbreak spreads in county childcare centers, ...",NA,"United States",500
"United States",2024-05-09,"Five babies have died with whooping cough this year amid rapid rise ...",NA,"United States",494
"United States",2024-05-07,"New case of pertussis confirmed in Lexington high school - ...",NA,"United States",492
"United States",2024-05-03,"North Shore Health Department warns of whooping cough cases in ...",NA,"United States",488
"United States",2024-04-29,"'Whooping cough' cases confirmed on campus | University Park Campus ...",NA,"United States",484
"United States",2024-04-10,"Flu, RSV, and COVID triple whammy of viruses join whooping cough ...",NA,"United States",465
"United States",2024-04-05,"Whooping cough's back â€” and it's Covid's fault - POLITICO Europe",NA,"United States",460
"United States",2024-04-02,"DOH chief: Pertussis outbreak now under control, but vaccination ...",NA,"United States",457
"United States",2024-03-18,"Two new cases of pertussis in Kumanovo - Sloboden pechat - ...",NA,"United States",442
"United States",2024-03-19,"CDC reports year's 1st whooping cough, meningococcal meningitis cases ...",NA,"United States",443
"United States",2024-03-09,"Five children ended up in hospital, 50 new cases of whooping cough in ...",NA,"United States",433
"United States",2024-02-26,"Two new cases of pertussis registered in Kumanovo - Sloboden Pechat - ...",NA,"United States",421
"United States",2023-08-31,"Two cases of whooping cough have been confirmed on a flight from ... ...",NA,"United States",242
"United States",2023-08-11,"Multiple pertussis cases confirmed in Sullivan County - The River ...",NA,"United States",222
"United States",2023-02-19,"Schuyler County suspected whooping cough cases confirmed as ...",NA,"United States",49
"United States",2023-02-08,"Whooping cough vaccination during pregnancy benefits U.S. infants - ...",NA,"United States",38
"Japan",2025-09-09,"There has been a new case of pertussis in a family cluster in the ...",NA,"Japan",982
"Japan",2025-07-29,"Japan whooping cough cases hit record above 50,000 - ...",NA,"Japan",940
"Japan",2025-07-10,"Japan's 39,672 Pertussis Cases Sets Record - Vax-Before-Travel",NA,"Japan",921
"Japan",2025-07-09,"Whooping cough epidemic spreads in Japan, with 6 new cases in the ...",NA,"Japan",920
"Japan",2025-07-09,"Cases of Japan’s Whooping Cough Soar to 3,353 - Menafn",NA,"Japan",920
"Japan",2025-05-20,"Be careful of contracting two diseases when traveling to Japan! ...",NA,"Japan",870
"Japan",2025-05-20,"1,792 people in Japan were infected with whooping cough in a single ...",NA,"Japan",870
"Japan",2025-05-08,"More than 10,000 people infected with whooping cough in Japan, twice ...",NA,"Japan",858
"Japan",2025-05-07,"Whooping cough cases still surging in Japan - nhk.or.jp",NA,"Japan",857
"Japan",2025-04-23,"Attention when traveling to Japan | Japan's whooping cough ...",NA,"Japan",843
"Japan",2025-04-23,"Attention when traveling to Japan | Japan's whooping cough ...",NA,"Japan",843
"Japan",2025-04-23,"Japan's whooping cough epidemic hits new high for 3 consecutive ...",NA,"Japan",843
"Japan",2025-04-19,"1-month-old dies from antibiotic-resistant whooping cough in Tokyo - ...",NA,"Japan",839
"Japan",2025-04-14,"Whooping cough is spreading in Japan - The Japan Times",NA,"Japan",834
"Japan",2025-04-08,"Japan Sees Record Surge In Whooping Cough Cases - Evrim AÄŸacÄ±",NA,"Japan",828
"Guatemala",2025-09-01,"Whooping cough strikes children in Guatemala - CRN News",NA,"Guatemala",974
"United States",2025-08-27,"'Seeing a rise': Whooping cough cases surge in Treasure Valley - MSN",NA,"Idaho, United States",969
"United States",2025-03-03,"Central District health reports pertussis death in Western Idaho - ...",NA,"Idaho, United States",792
"United States",2024-12-21,"Boise schools warn of â€˜widespreadâ€™ whooping cough. Idaho cases ...",NA,"Idaho, United States",720
"United States",2024-10-11,"Whooping cough but without the whoop? Pertussis cases surge in ...",NA,"Idaho, United States",649
"United States",2024-03-09,"Pertussis (whooping cough) on the rise in southwest Idaho - KMVT",NA,"Idaho, United States",433
"United States",2024-02-03,"Whooping Cough on Rise in Southern Idaho - ...",NA,"Idaho, United States",398
"Bolivia",2025-08-30,"Two positive cases of whooping cough confirmed in Yacuiba - El País ...",NA,"Bolivia",972
