"Year","name","value","Country"
2016,"15-19",1078,"AU"
2016,"20-24",686,"AU"
2016,"25-29",701,"AU"
2016,"30-34",787,"AU"
2016,"35-39",878,"AU"
2016,"40-44",1043,"AU"
2016,"45-49",887,"AU"
2016,"50-54",723,"AU"
2016,"55-59",663,"AU"
2016,"60-64",583,"AU"
2016,"65-69",612,"AU"
2016,"70-74",436,"AU"
2016,"75-79",277,"AU"
2016,"80-84",127,"AU"
2016,"85+",138,"AU"
2016,"Unknow",2,"AU"
2015,"00-04",2894,"AU"
2015,"05-09",4464,"AU"
2015,"10-14",4293,"AU"
2015,"15-19",1108,"AU"
2015,"20-24",633,"AU"
2015,"25-29",656,"AU"
2015,"30-34",770,"AU"
2015,"35-39",920,"AU"
2015,"40-44",1222,"AU"
2015,"45-49",1140,"AU"
2015,"50-54",893,"AU"
2015,"55-59",782,"AU"
2015,"60-64",781,"AU"
2015,"65-69",749,"AU"
2015,"70-74",527,"AU"
2015,"75-79",367,"AU"
2015,"80-84",203,"AU"
2015,"85+",168,"AU"
2015,"Unknow",0,"AU"
2023,"0-0",15684,"CN"
2023,"1-1",2454,"CN"
2023,"2-2",1343,"CN"
2023,"3-3",1911,"CN"
2023,"4-4",2629,"CN"
2023,"5-5",3017,"CN"
2023,"6-6",5273,"CN"
2023,"7-7",2374,"CN"
2023,"8-8",2689,"CN"
2023,"9-9",2109,"CN"
2023,"10-14",2967,"CN"
2023,"15-19",154,"CN"
2023,"20-24",23,"CN"
2023,"25-29",60,"CN"
2023,"30-34",103,"CN"
2023,"35-39",214,"CN"
2023,"40-44",127,"CN"
2023,"45-49",70,"CN"
2023,"50-54",68,"CN"
2023,"55-59",54,"CN"
2023,"60-64",67,"CN"
2023,"65-69",71,"CN"
2023,"70-74",39,"CN"
2023,"75-79",29,"CN"
2023,"80-84",11,"CN"
2023,"85+",11,"CN"
2022,"1-4",8233,"CN"
2022,"5-9",15422,"CN"
2022,"15+",647,"CN"
2022,"0-0",11936,"CN"
2022,"10-14",2057,"CN"
2021,"5-9",3095,"CN"
2021,"15+",160,"CN"
2021,"0-0",3245,"CN"
2021,"1-1",543,"CN"
2021,"2-2",437,"CN"
2021,"3-3",798,"CN"
2021,"4-4",1009,"CN"
2021,"10-14",324,"CN"
2020,"0-0",2315,"CN"
2020,"1-1",471,"CN"
2020,"2-2",291,"CN"
2020,"3-3",453,"CN"
2020,"4-4",258,"CN"
2020,"5-5",203,"CN"
2020,"6-6",141,"CN"
2020,"7-7",94,"CN"
2020,"8-8",70,"CN"
2020,"9-9",40,"CN"
2020,"10-14",67,"CN"
2020,"15-19",6,"CN"
2020,"20-24",0,"CN"
2020,"25-29",9,"CN"
2020,"30-34",15,"CN"
2020,"35-39",10,"CN"
2020,"40-44",5,"CN"
2020,"45-49",9,"CN"
2020,"50-54",4,"CN"
2020,"55-59",4,"CN"
2020,"60-64",1,"CN"
2020,"65-69",2,"CN"
2020,"70-74",2,"CN"
2020,"75-79",0,"CN"
2020,"80-84",2,"CN"
2020,"85+",3,"CN"
2019,"0-0",16743,"CN"
2019,"1-1",4248,"CN"
2019,"2-2",2122,"CN"
2019,"3-3",1682,"CN"
2019,"4-4",1615,"CN"
2019,"5-5",1137,"CN"
2019,"6-6",809,"CN"
2019,"7-7",499,"CN"
2019,"8-8",342,"CN"
2019,"9-9",201,"CN"
2019,"10-14",269,"CN"
2019,"15-19",7,"CN"
2019,"20-24",0,"CN"
2019,"25-29",24,"CN"
2019,"30-34",69,"CN"
2019,"35-39",91,"CN"
2019,"40-44",56,"CN"
2019,"45-49",19,"CN"
2019,"50-54",13,"CN"
2019,"55-59",37,"CN"
2019,"60-64",18,"CN"
2019,"65-69",12,"CN"
2019,"70-74",8,"CN"
2019,"75-79",3,"CN"
2019,"80-84",1,"CN"
2019,"85+",2,"CN"
2018,"0-0",12372,"CN"
2018,"1-1",3977,"CN"
2018,"2-2",1085,"CN"
2018,"3-3",1179,"CN"
2018,"4-4",1066,"CN"
2018,"5-5",802,"CN"
2018,"6-6",499,"CN"
2018,"7-7",341,"CN"
2018,"8-8",217,"CN"
2018,"9-9",119,"CN"
2018,"10-14",170,"CN"
2018,"15-19",7,"CN"
2018,"20-24",12,"CN"
2018,"25-29",41,"CN"
2018,"30-34",43,"CN"
2018,"35-39",47,"CN"
2018,"40-44",11,"CN"
2018,"45-49",16,"CN"
2018,"50-54",11,"CN"
2018,"55-59",15,"CN"
2018,"60-64",10,"CN"
2018,"65-69",6,"CN"
2018,"70-74",4,"CN"
2018,"75-79",5,"CN"
2018,"80-84",1,"CN"
2018,"85+",1,"CN"
2017,"0-0",6973,"CN"
2017,"1-1",1187,"CN"
2017,"2-2",456,"CN"
2017,"3-3",477,"CN"
2017,"4-4",353,"CN"
2017,"5-5",227,"CN"
2017,"6-6",166,"CN"
2017,"7-7",128,"CN"
2017,"8-8",75,"CN"
2017,"9-9",55,"CN"
2017,"10-14",81,"CN"
2017,"15-19",6,"CN"
2017,"20-24",5,"CN"
2017,"25-29",30,"CN"
2017,"30-34",37,"CN"
2017,"35-39",37,"CN"
2017,"40-44",10,"CN"
2017,"45-49",13,"CN"
2017,"50-54",26,"CN"
2017,"55-59",13,"CN"
2017,"60-64",16,"CN"
2017,"65-69",7,"CN"
2017,"70-74",8,"CN"
2017,"75-79",1,"CN"
2017,"80-84",3,"CN"
2017,"85+",0,"CN"
2016,"0-0",3508,"CN"
2016,"1-1",767,"CN"
2016,"2-2",316,"CN"
2016,"3-3",256,"CN"
2016,"4-4",217,"CN"
2016,"5-5",127,"CN"
2016,"6-6",95,"CN"
2016,"7-7",72,"CN"
2016,"8-8",34,"CN"
2016,"9-9",39,"CN"
2016,"10-14",43,"CN"
2016,"15-19",5,"CN"
2016,"20-24",6,"CN"
2016,"25-29",23,"CN"
2016,"30-34",21,"CN"
2016,"35-39",10,"CN"
2016,"40-44",6,"CN"
2016,"45-49",5,"CN"
2016,"50-54",12,"CN"
2016,"55-59",7,"CN"
2016,"60-64",6,"CN"
2016,"65-69",4,"CN"
2016,"70-74",2,"CN"
2016,"75-79",0,"CN"
2016,"80-84",2,"CN"
2016,"85+",1,"CN"
2015,"0-0",4322,"CN"
2015,"1-1",986,"CN"
2015,"2-2",361,"CN"
2015,"3-3",253,"CN"
2015,"4-4",197,"CN"
2015,"5-5",165,"CN"
2015,"6-6",88,"CN"
2015,"7-7",57,"CN"
2015,"8-8",44,"CN"
2015,"9-9",40,"CN"
2015,"10-14",64,"CN"
2015,"15-19",3,"CN"
2015,"20-24",5,"CN"
2015,"25-29",17,"CN"
2015,"30-34",14,"CN"
2015,"35-39",8,"CN"
2015,"40-44",3,"CN"
2015,"45-49",7,"CN"
2015,"50-54",7,"CN"
2015,"55-59",8,"CN"
2015,"60-64",6,"CN"
2015,"65-69",2,"CN"
2015,"70-74",0,"CN"
2015,"75-79",1,"CN"
2015,"80-84",0,"CN"
2015,"85+",0,"CN"
2015,"00-00",234,"GB"
2015,"01-04",369,"GB"
2015,"05-09",271,"GB"
2015,"10-14",295,"GB"
2015,"15-24",272,"GB"
2015,"25-44",759,"GB"
2015,"45-64",700,"GB"
2015,"65+",178,"GB"
2016,"00-00",305,"GB"
2016,"01-04",446,"GB"
2016,"05-09",328,"GB"
2016,"10-14",382,"GB"
2016,"15-24",395,"GB"
2016,"25-44",1182,"GB"
2016,"45-64",1185,"GB"
2016,"65+",321,"GB"
2017,"00-00",223,"GB"
2017,"01-04",322,"GB"
2017,"05-09",230,"GB"
2017,"10-14",291,"GB"
2017,"15-24",321,"GB"
2017,"25-44",805,"GB"
2017,"45-64",873,"GB"
2017,"65+",233,"GB"
2018,"00-00",154,"GB"
2018,"01-04",298,"GB"
2018,"05-09",187,"GB"
2018,"10-14",223,"GB"
2018,"15-24",192,"GB"
2018,"25-44",651,"GB"
2018,"45-64",680,"GB"
2018,"65+",227,"GB"
2019,"00-00",173,"GB"
2019,"01-04",506,"GB"
2019,"05-09",346,"GB"
2019,"10-14",392,"GB"
2019,"15-24",346,"GB"
2019,"25-44",946,"GB"
2019,"45-64",987,"GB"
2019,"65+",297,"GB"
2020,"00-00",50,"GB"
2020,"01-04",49,"GB"
2020,"05-09",222,"GB"
2020,"10-14",467,"GB"
2020,"15+",2342,"GB"
2021,"00-00",2,"GB"
2021,"01-04",3,"GB"
2021,"05-09",2,"GB"
2021,"10-14",3,"GB"
2021,"15+",39,"GB"
2022,"00-00",5,"GB"
2022,"01-04",11,"GB"
2022,"05-09",3,"GB"
2022,"10-14",3,"GB"
2022,"15+",47,"GB"
2023,"00-00",96,"GB"
2023,"01-04",53,"GB"
2023,"05-09",79,"GB"
2023,"10-14",177,"GB"
2023,"15+",453,"GB"
2023,"00-00",729,"US"
2023,"Unknow",2,"US"
2023,"01-06",1762,"US"
2023,"07-10",636,"US"
2023,"11-19",1014,"US"
2023,"20+",1468,"US"
2022,"00-00",269,"US"
2022,"Unknow",1,"US"
2022,"01-06",622,"US"
2022,"07-10",176,"US"
2022,"11-19",231,"US"
2022,"20+",1089,"US"
2021,"00-00",177,"US"
2021,"01-04",378,"US"
2021,"05-14",232,"US"
2021,"15-24",179,"US"
2021,"25-39",262,"US"
2021,"40-64",603,"US"
2021,"65+",283,"US"
2021,"Unknow",2,"US"
2020,"00-00",698,"US"
2020,"01-04",983,"US"
2020,"05-14",1828,"US"
2020,"15-24",1078,"US"
2020,"25-39",366,"US"
2020,"40-64",774,"US"
2020,"65+",388,"US"
2020,"Unknow",9,"US"
2019,"00-00",2183,"US"
2019,"01-04",2876,"US"
2019,"05-14",5874,"US"
2019,"15-24",3717,"US"
2019,"25-39",1053,"US"
2019,"40-64",2030,"US"
2019,"65+",864,"US"
2019,"Unknow",20,"US"
2018,"00-00",1995,"US"
2018,"01-04",2431,"US"
2018,"05-14",4742,"US"
2018,"15-24",3212,"US"
2018,"25-39",925,"US"
2018,"40-64",1629,"US"
2018,"65+",652,"US"
2018,"Unknow",23,"US"
2017,"00-00",2237,"US"
2017,"01-04",2779,"US"
2017,"05-14",6015,"US"
2017,"15-24",4204,"US"
2017,"25-39",1035,"US"
2017,"40-64",1924,"US"
2017,"65+",739,"US"
2017,"Unknow",42,"US"
2016,"00-00",2020,"US"
2016,"01-04",2435,"US"
2016,"05-14",5833,"US"
2016,"15-24",3998,"US"
2016,"25-39",1094,"US"
2016,"40-64",1905,"US"
2016,"65+",657,"US"
2016,"Unknow",30,"US"
2015,"00-00",2672,"US"
2015,"01-04",2806,"US"
2015,"05-14",6870,"US"
2015,"15-24",4193,"US"
2015,"25-39",1293,"US"
2015,"40-64",2154,"US"
2015,"65+",736,"US"
2015,"Unknow",38,"US"
2023,"00-00",31,"NZ"
2023,"01-04",18,"NZ"
2023,"05-09",12,"NZ"
2023,"10-14",16,"NZ"
2023,"15-19",5,"NZ"
2023,"20-29",12,"NZ"
2023,"30-39",14,"NZ"
2023,"40-49",14,"NZ"
2023,"50-59",8,"NZ"
2023,"60-69",7,"NZ"
2023,"70+",4,"NZ"
2022,"00-00",1,"NZ"
2022,"01-04",1,"NZ"
2022,"05-09",1,"NZ"
2022,"10-14",2,"NZ"
2022,"15-19",2,"NZ"
2022,"20-29",1,"NZ"
2022,"30-39",3,"NZ"
2022,"40-49",0,"NZ"
2022,"50-59",2,"NZ"
2022,"60-69",1,"NZ"
2022,"70+",4,"NZ"
2021,"00-00",1,"NZ"
