date,title,place_name
2025-10-14,Guam reports 4th pertussis case of 2025 - Outbreak News Today,Guam [USA]
2025-07-31,Public Health confirms July case of pertussis: unvaccinated infant - ...,Guam [USA]
2025-05-30,Public Health confirms 1 case of pertussis on Guam - guampdn.com,Guam [USA]
2025-05-30,Public Health confirms 1 case of pertussis on Guam - guampdn.com,Guam [USA]
2024-09-20,Guam now has 2nd case of highly infectious whooping cough - Pacific ...,Guam [USA]
2024-09-11,Guam now has 1 case of highly contagious whooping cough - Pacific ...,Guam [USA]
2024-05-15,Measles and pertussis in the region - KUAM.com - KUAM.com,Guam [USA]
2025-10-11,Brazil reports whooping cough outbreak in young children with deaths ...,Brazil
2025-05-23,Whooping cough: Southern region already records 567 cases of the ...,Brazil
2025-10-10,Whooping cough case confirmed at Woodland Junior High School in ...,"Oregon, United States"
2025-06-19,"Whooping cough cases up in Oregon, Washington for the first half of ...","Oregon, United States"
2025-01-11,Oregon health Q&A: 2 questions about pertussis (whooping cough) - ...,"Oregon, United States"
2024-12-30,Oregon ends year with highest whooping cough case count in 74 years - ...,"Oregon, United States"
2024-12-07,"Pertussis case count expected to beat record, alarms Oregon public ...","Oregon, United States"
2024-11-26,Weds 9:25 | Outbreak of whooping cough in Oregon on record-setting ...,"Oregon, United States"
2024-11-14,Oregon To Break Whooping Cough Record - iHeart,"Oregon, United States"
2024-10-11,"800+ cases of whooping cough in WA, 600+ in OR - Fox 12 Oregon","Oregon, United States"
2024-06-11,Sharp rise in pertussis cases prompts public health warning - The ...,"Oregon, United States"
2024-05-30,"Whooping cough, highly dangerous to babies, spikes 770% in Oregon, ...","Oregon, United States"
2025-10-09,Forgotten Cough Returns: Whooping Cough Cases Surges Across Florida ...,"Florida, United States"
2025-10-08,"Whooping cough cases soar in Florida, state records show - ...","Florida, United States"
2025-10-03,"Acre is among the few states without whooping cough cases in 2025, ...","Acre, Brazil"
2025-10-03,"Acre is among the few states without whooping cough cases in 2025, ...","Acre, Brazil"
2025-10-08,Kyrgyzstan sees rise in pertussis cases - AKIpress News Agency,Kyrgyzstan
2025-05-20,Whooping cough: Half of infected in Kyrgyzstan - children under 12 ...,Kyrgyzstan
2024-06-26,Kyrgyzstan registers more than 1700 cases of whooping cough in five ...,Kyrgyzstan
2024-04-24,Kyrgyzstan registers 1118 cases of whooping cough in four months - ...,Kyrgyzstan
2025-10-07,Vanuatu pertussis outbreak rises to 270 cases - Outbreak News Today,"Tanna, Tafea, Vanuatu"
2025-10-04,"Mississippi reports 135% increase in pertussis, Infant death - ...","Mississippi, United States"
2025-10-01,"Quick takes: Mississippi pertussis death, fatal New York EEE case, ...","Mississippi, United States"
2025-09-29,New warning for whooping cough after first MS death in over 12 years ...,"Mississippi, United States"
2025-09-30,Mississippi reports first pertussis death in over a decade as cases ...,"Mississippi, United States"
2025-09-29,Mississippi infant younger than 2 months dies from whooping cough. ...,"Mississippi, United States"
2025-09-29,Health officials report Mississippi’s first whooping cough death of ...,"Mississippi, United States"
2025-07-22,Mississippi Health Alert Confirms 80 Pertussis Cases - ...,"Mississippi, United States"
2025-07-16,Mississippi whooping cough cases surge by over 60% in 2025; Health ...,"Mississippi, United States"
2025-07-16,MSDH reports 80 cases of whooping cough across the state - WXXV News ...,"Mississippi, United States"
2025-07-16,Mississippi whooping cough cases surge by over 60% in 2025; Health ...,"Mississippi, United States"
2025-07-16,Mississippi health officials warn of rising pertussis cases - WAPT,"Mississippi, United States"
2025-05-19,Mississippi reports increase in whooping cough cases - WJTV,"Mississippi, United States"
2025-05-13,Pertussis cases increasing in Mississippi and across the country - ...,"Mississippi, United States"
2025-01-29,EPCPH: Jenkins MS students affected by pertussis outbreak - ...,"Mississippi, United States"
2025-10-01,"Quick takes: Mississippi pertussis death, fatal New York EEE case, ...","New York State, United States"
2024-11-21,Whooping cough cases spike across New York and other states - MSN,"New York State, United States"
2024-11-08,Tompkins County sees rise in whooping cough and walking pneumonia ...,"New York State, United States"
2024-10-01,Whooping Cough On The Rise In NY: What To Know About Pertussis - Patch,"New York State, United States"
2024-09-09,Whooping cough outbreak in New York: cases up 300% in a year - ...,"New York State, United States"
2024-01-03,Whooping cough is spreading in New York schools: What to know - ...,"New York State, United States"
2023-08-11,"Whooping Cough Outbreak Reported In Upstate New York, HV - Hudson ...","New York State, United States"
2023-08-10,More kids contracting whooping cough in New York county prompts ...,"New York State, United States"
2025-10-01,"Quick takes: Mississippi pertussis death, fatal New York EEE case, ...",Cuba
2025-09-25,Resurgence of Whooping Sore: The Causes Behind the Epidemiological ...,Chile
2025-05-31,German School of Santiago reported a positive case of whooping cough ...,Chile
2025-09-25,"Whooping cough, measles, chikungunya: should we fear new epidemics? - ...",France
2025-05-07,20 children already dead: Whooping cough epidemic in France - MSN,France
2024-08-02,"Resurgence of Bordetella pertussis, including one ...",France
2024-07-30,Whooping cough epidemic in France - Blick.ch,France
2024-07-08,17 deaths since January: why whooping cough is exploding in France - ...,France
2024-06-28,Whooping cough: 17 deaths including 14 children in France since the ...,France
2024-06-28,Whooping cough: 12 infant deaths in France since the start of 2024 - ...,France
2024-06-28,Whooping cough: 14 children have died from the disease in France ...,France
2024-06-28,Whooping cough: 12 infant deaths in France since the start of 2024 - ...,France
2024-06-28,Whooping cough: 14 child deaths in France since the start of the ...,France
2024-06-05,"Pertussis cases soar in France, rise in Europe - EURACTIV",France
2025-09-18,"Emergence of Bordetella holmesii–Associated Pertussis-Like Illness, ...",India
2023-02-09,Two Adults Found Infected With Rare Whooping Cough Causing Bacteria | ...,India
2025-09-19,Significant increase in cases of flu and whooping cough recorded in ...,Luxembourg
2024-02-23,Luxembourg / â€œA highly contagious diseaseâ€: 46 cases of whooping ...,Luxembourg
2024-11-06,Provider Alert: Pertussis Cases Continue to Increase in Washington ...,"Washington, DC, United States"
2024-05-13,Health Advisory: Increase in Pertussis Cases in several Washington ...,"Washington, DC, United States"
2024-09-27,Increase in Pertussis Cases in the District of Columbia,"Washington, DC, United States"
2024-12-03,Increase in Pertussis Cases in the District of Columbia,"Washington, DC, United States"
2025-06-19,"Whooping cough cases up in Oregon, Washington for the first half of ...","Washington, DC, United States"
2025-03-25,Whooping cough hits school-aged children in Washington - Axios,"Washington, DC, United States"
2024-11-18,Health Alert: Pertussis Increasing in Washington - Tacoma-Pierce ...,"Washington, DC, United States"
