date,title,place_name
2024-11-16,Whooping cough resurgence reported in DC region and nationwide - WTOP,"Washington, DC, United States"
2024-11-08,"Washington reports nearly 1,200 whooping cough cases so far this ...","Washington, DC, United States"
2025-09-06,New Hampshire sees spike in whooping cough cases - Valley News,"New Hampshire, United States"
2025-09-09,Whooping cough cases surge in Washoe County amid national rise - KRXI,United States
2025-09-05,The origins of the flesh-eating bacteria stalking the US coast - ...,United States
2025-08-27,Pertussis Cases Set New Highs As Vaccinations Deacrease in the ...,United States
2025-05-28,First case of whooping cough in Piura: Authorities confirm infection ...,United States
2025-05-12,Third case of whooping cough reported at Rostraver Elementary School ...,United States
2025-05-06,Cases of whooping cough and COVID-19 increase - Taipei Times,United States
2025-05-04,Alert for whooping cough surge in the US: six infants among the ten ...,United States
2025-04-25,Whooping cough cases are twice as high as last year: CDC - New York ...,United States
2025-04-08,Lumberton School District confirms cases of Pertussis - MSN,United States
2025-01-30,"Flu, COVID-19 and whooping cough down, norovirus still up - MPR News",United States
2025-01-21,Whooping cough outbreak infects wrestlers and others at Tri-Cities ...,United States
2025-01-20,"High Activity For Influenza, COVID, RSV, & Whooping Cough - WHMI",United States
2024-12-31,Whooping Cough Is Increasing in the Aftermath of the COVID-19 ...,United States
2024-12-26,Whooping cough cases surging across US - WSOC Charlotte,United States
2024-12-17,Hardin County Judge confirms whooping cough 'outbreak' after at least ...,United States
2024-12-20,"Whooping cough, norovirus, COVID and more: Winter, holidays bring ...",United States
2024-12-17,Lumberton School District confirms cases of Pertussis - Beaumont ...,United States
2024-12-12,Two cases of whooping cough confirmed at Kodiak schools - KMXT,United States
2024-12-09,Impact of the COVID-19 Pandemic on Adult Pertussis Vaccination ...,United States
2024-12-05,Gathering for the holidays? Hereâ€™s what to know about rising cases ...,United States
2024-11-26,Health officials voice concern about surge in measles and whooping ...,United States
2024-11-14,Pertussis Surveillance and Trends | Whooping Cough - CDC,United States
2024-11-05,"Whooping Cough Cases Are Spiking, CDC Warns - Daily Voice",United States
2024-10-30,Parents asked to monitor children after Oak Hills student diagnosed ...,United States
2024-10-30,"Flu, COVID-19, RSV, And Whooping Cough: St. Maryâ€™s Health ...",United States
2024-10-15,CDC reports alarming increase in whooping cough and walking pneumonia ...,United States
2024-10-18,"Whooping cough cases surge in US, Europe post-COVID pandemic - ...",United States
2024-10-11,"Whitman County reports 18 cases of pertussis, all among WSU students ...",United States
2024-10-11,Worst U.S. whooping cough outbreak in a decade has infected thousands ...,United States
2024-10-04,"COVID vaccines, RSV, and whooping cough: What to know - TODAY",United States
2024-10-04,"How to stay healthy this fall: vaccines, RSV, and whooping cough - ...",United States
2024-10-03,"COVID, RSV, flu and whooping cough vaccines available now - Sanford ...",United States
2024-09-30,Winnebago County reports 21 confirmed cases of pertussis - WBAY,United States
2024-09-25,What is whooping cough? - Medical Xpress,United States
2024-09-25,Two Cases of Whooping Cough Reported Among WSU Student Population - ...,United States
2024-09-19,Number of COVID and pertussis cases rising in Eau Claire - WQOW TV ...,United States
2024-09-18,Medford School District sends Health Dept. advisory about whooping ...,United States
2024-09-06,Whooping cough outbreak: Infections have quadrupled in U.S. - ...,United States
2024-06-27,"Outbreak of Chickenpox reported in Warden, whooping cough cases ...",United States
2024-06-19,More cases confirmed in Lexington whooping cough outbreak - WKYT,United States
2024-06-07,"Whooping cough cases increasing across the U.S., CDC says - FOX13 ...",United States
2024-06-03,Whooping Cough Cases Rising Across The US - Videos from The Weather ...,United States
2024-05-29,Nine cases of whooping cough confirmed at Valley View schools - ...,United States
2024-05-20,"Uptake of flu, whooping cough, and COVID-19 vaccines remains low ...",United States
2024-05-20,"Lexington Health Department reports whooping cough outbreak, more ...",United States
2024-05-15,"Whooping cough outbreak spreads in county childcare centers, ...",United States
2024-05-09,Five babies have died with whooping cough this year amid rapid rise ...,United States
2024-05-07,New case of pertussis confirmed in Lexington high school - ...,United States
2024-05-03,North Shore Health Department warns of whooping cough cases in ...,United States
2024-04-29,'Whooping cough' cases confirmed on campus | University Park Campus ...,United States
2024-04-10,"Flu, RSV, and COVID triple whammy of viruses join whooping cough ...",United States
2024-04-05,Whooping cough's back â€” and it's Covid's fault - POLITICO Europe,United States
2024-04-02,"DOH chief: Pertussis outbreak now under control, but vaccination ...",United States
2024-03-18,Two new cases of pertussis in Kumanovo - Sloboden pechat - ...,United States
2024-03-19,"CDC reports year's 1st whooping cough, meningococcal meningitis cases ...",United States
2024-03-09,"Five children ended up in hospital, 50 new cases of whooping cough in ...",United States
2024-02-26,Two new cases of pertussis registered in Kumanovo - Sloboden Pechat - ...,United States
2023-08-31,Two cases of whooping cough have been confirmed on a flight from ... ...,United States
2023-08-11,Multiple pertussis cases confirmed in Sullivan County - The River ...,United States
2023-02-19,Schuyler County suspected whooping cough cases confirmed as ...,United States
2023-02-08,Whooping cough vaccination during pregnancy benefits U.S. infants - ...,United States
2025-09-09,There has been a new case of pertussis in a family cluster in the ...,Japan
2025-07-29,"Japan whooping cough cases hit record above 50,000 - ...",Japan
2025-07-10,"Japan's 39,672 Pertussis Cases Sets Record - Vax-Before-Travel",Japan
2025-07-09,"Whooping cough epidemic spreads in Japan, with 6 new cases in the ...",Japan
2025-07-09,"Cases of Japan’s Whooping Cough Soar to 3,353 - Menafn",Japan
2025-05-20,Be careful of contracting two diseases when traveling to Japan! ...,Japan
2025-05-20,"1,792 people in Japan were infected with whooping cough in a single ...",Japan
2025-05-08,"More than 10,000 people infected with whooping cough in Japan, twice ...",Japan
2025-05-07,Whooping cough cases still surging in Japan - nhk.or.jp,Japan
2025-04-23,Attention when traveling to Japan | Japan's whooping cough ...,Japan
2025-04-23,Attention when traveling to Japan | Japan's whooping cough ...,Japan
2025-04-23,Japan's whooping cough epidemic hits new high for 3 consecutive ...,Japan
2025-04-19,1-month-old dies from antibiotic-resistant whooping cough in Tokyo - ...,Japan
2025-04-14,Whooping cough is spreading in Japan - The Japan Times,Japan
2025-04-08,Japan Sees Record Surge In Whooping Cough Cases - Evrim AÄŸacÄ±,Japan
2025-09-01,Whooping cough strikes children in Guatemala - CRN News,Guatemala
2025-08-27,'Seeing a rise': Whooping cough cases surge in Treasure Valley - MSN,"Idaho, United States"
2025-03-03,Central District health reports pertussis death in Western Idaho - ...,"Idaho, United States"
2024-12-21,Boise schools warn of â€˜widespreadâ€™ whooping cough. Idaho cases ...,"Idaho, United States"
2024-10-11,Whooping cough but without the whoop? Pertussis cases surge in ...,"Idaho, United States"
2024-03-09,Pertussis (whooping cough) on the rise in southwest Idaho - KMVT,"Idaho, United States"
2024-02-03,Whooping Cough on Rise in Southern Idaho - ...,"Idaho, United States"
2025-08-30,Two positive cases of whooping cough confirmed in Yacuiba - El País ...,Bolivia
2025-08-27,Tarija Health Department confirms cases of leishmaniasis and reports ...,Bolivia
2023-09-03,Bolivia: Decreasing trend in whooping cough cases seen after ... - ...,Bolivia
2023-08-20,Whooping cough in Bolivia: Health officials urge vaccination of ... - ...,Bolivia
2023-01-26,"Bolivia reports 255 pertussis cases, Dengue fever update - Outbreak ...",Bolivia
2025-08-28,Laboratory confirmed cases of pertussis in England: April to June ...,"England, United Kingdom"
2025-03-03,NHS England to commission whooping cough vaccination service through ...,"England, United Kingdom"
2024-08-13,"More than 10,000 whooping cough cases reported in first six months of ...","England, United Kingdom"
2024-08-08,"Whooping cough surges in England, triggering vaccination drive - ...","England, United Kingdom"
2024-07-25,Greater Manchester whooping cough vaccine plea as cases surge - BBC,"England, United Kingdom"
2024-07-10,Nine whooping cough deaths in England as cases rise - BBC.com,"England, United Kingdom"
2024-07-03,Whooping cough map shows number of cases in your area as two ...,"England, United Kingdom"
2024-06-16,Fewer babies in Stockport receiving whooping cough vaccine â€“ as ...,"England, United Kingdom"
2024-06-07,Whooping Cough Kills Eighth Baby As Cases Surge In England - Forbes,"England, United Kingdom"
2024-05-30,Whooping cough: Number of Basingstoke cases revealed - Basingstoke ...,"England, United Kingdom"
2024-05-21,Fewer babies in Bedford receiving whooping cough vaccine â€“ as cases ...,"England, United Kingdom"
2024-05-13,All of the whooping cough cases in Cambridgeshire as five babies die ...,"England, United Kingdom"
2024-05-09,"Whooping cough: five babies in England die after diagnosis, say ...","England, United Kingdom"
2024-04-30,Covid and whooping cough jabs plea across Wolverhampton - BBC.com,"England, United Kingdom"
2024-04-23,Lincolnshire parents warned about 'worrying' rise in whooping cough ...,"England, United Kingdom"
2024-04-04,Vaccine rate fall leads to whooping cough resurgence in England - ...,"England, United Kingdom"
2024-03-17,Map shows suspected cases of whooping cough in Surrey as infection ...,"England, United Kingdom"
2024-01-26,When its time to call 999 if suffering with whooping cough - ...,"England, United Kingdom"
2023-11-14,Prenatal pertussis vaccination coverage in England from April to ... ...,"England, United Kingdom"
2023-08-17,Prenatal pertussis vaccination coverage in England from January to ...,"England, United Kingdom"
2023-07-06,Laboratory confirmed cases of pertussis in England: July to ... - ...,"England, United Kingdom"
2023-06-02,Warning over whooping cough outbreak in Salford - Manchester Evening ...,"England, United Kingdom"
2025-08-28,Laboratory confirmed cases of pertussis in England: April to June ...,United Kingdom
2024-08-12,What is â€˜Whooping Coughâ€™ which has killed several infants in UK? ...,United Kingdom
2024-08-08,BREAKING: Baby dies from whooping cough as UK death toll reaches 10 ...,United Kingdom
2024-07-15,Whooping cough cases mapped as infections rise and warning issued - ...,United Kingdom
2024-07-12,"Whooping cough outbreak continues to spread in UK, killing nine ...",United Kingdom
2024-07-12,"Whooping cough outbreak continues to spread in UK, 9 babies die - ...",United Kingdom
2024-07-11,Eight babies die from whooping cough infection this year as bacteria ...,United Kingdom
2024-07-02,UK to switch to non-polio containing pertussis vaccine for pregnant ...,United Kingdom
2024-06-06,"UK whooping cough death toll rises to 8, people urged to get vaccines ...",United Kingdom
2024-05-24,Five-week-old baby dies from whooping cough as UK cases surge - Lancs ...,United Kingdom
2024-05-13,Return of masks and three-week isolation for infected schoolkids as ...,United Kingdom
2024-05-09,UK Sees Persistent Rise in Whooping Cough Cases - Mirage News,United Kingdom
2024-04-05,UK facing whooping cough horror as health experts warn case numbers ...,United Kingdom
2024-03-08,Whooping cough: UK cases soar as fears grow over vaccine - GB News,United Kingdom
2024-01-31,Whooping cough: Pharmacist shares warning signs as UK cases soar - ...,United Kingdom
2023-12-07,Exploring the Impact of DPT Vaccination on Pertussis Cases in the UK ...,United Kingdom
2023-12-07,Cases of whooping cough surged by 250% in the UK in one year | China ...,United Kingdom
2023-12-05,Signs and symptoms of whooping cough sweeping through UK - Lancashire ...,United Kingdom
2023-10-16,Pertussis in adults aged 50 and older costs UK about $290 million ... ...,United Kingdom
2025-08-18,"No new confirmed cases of measles, dengue, or whooping cough; ...","Estado de Coahuila, Mexico"
2025-05-22,The whooping cough alert continues in Coahuila. How many cases have ...,"Estado de Coahuila, Mexico"
2025-05-16,Coahuila reports 46 cases of whooping cough and two deaths - Route 135,"Estado de Coahuila, Mexico"
2025-05-11,Coahuila: 4 deaths from whooping cough; vaccines confirmed to be ...,"Estado de Coahuila, Mexico"
2025-05-05,"Whooping Cough Detected in a Little Girl, and Case of Lack of Care ...","Estado de Coahuila, Mexico"
2025-04-30,"Monclova is free of whooping cough, confirms the Coahuila Health ...","Estado de Coahuila, Mexico"
2025-08-15,Whooping cough case confirmed in eastern North Carolina - Public ...,"North Carolina, United States"
2025-07-19,First adult whooping cough case in Haywood County confirmed - Yahoo.co,"North Carolina, United States"
2025-07-19,First adult whooping cough case in Haywood County confirmed - ...,"North Carolina, United States"
2025-07-19,First adult whooping cough case in Haywood County confirmed - Yahoo ...,"North Carolina, United States"
2025-07-09,Multiple whooping cough cases confirmed in Haywood County - WLOS,"North Carolina, United States"
2025-07-09,Five cases of whooping cough confirmed in Haywood County - Yahoo,"North Carolina, United States"
2025-03-07,Case of whooping cough reported at Raleigh middle school - CBS17.com,"North Carolina, United States"
2024-06-10,Whooping cough continues its creep across Western North Carolina - ...,"North Carolina, United States"
2024-05-29,Officials urge for vaccinations as whooping cough spreads through NC ...,"North Carolina, United States"
2024-04-26,Whooping cough outbreak reported in North Carolina - WGHP FOX8 ...,"North Carolina, United States"
2025-08-12,Pertussis cases on the rise with 203 cases identified as of July 31 - ...,"Hawaii, United States"
2025-08-12,Kauaʻi records the highest number of cases of whooping cough as of ...,"Hawaii, United States"
2025-08-12,DOH: Whooping cough cases more than double - West Hawaii Today,"Hawaii, United States"
2025-05-22,US vacation hotspot hit by 'worrying' rise in killer Victorian-era ...,"Hawaii, United States"
2025-05-22,Whooping cough cases surge in Hawaii - Hawaii News Now,"Hawaii, United States"
2025-05-22,Hawaii pertussis cases are on the rise - Honolulu Star-Advertiser,"Hawaii, United States"
2024-04-24,State reports another whooping cough on Hawaii island - Honolulu ...,"Hawaii, United States"
2024-04-09,DOH investigating 2 whooping cough cases on Hawaii Island - Hawaii ...,"Hawaii, United States"
2024-02-14,Whooping Cough Outbreak Strikes Unvaccinated Family in Hawaii - BNN ...,"Hawaii, United States"
2025-08-08,Mayor of Hopelchén denies measles outbreak and claims 'active ...,"Estado de Tamaulipas, Mexico"
2025-07-31,Statewide pertussis epidemic worries health officials - Methow Valley ...,"Washington, United States"
2025-07-29,"Six new cases of pertussis are hospitalized, a total of 746 patients ...",Republic of Macedonia (FYROM)
2025-01-17,Two cases of whooping cough recorded in the last seven days in ...,Republic of Macedonia (FYROM)
2024-09-10,"Twenty-five new cases of whooping cough in a week in North Macedonia, ...",Republic of Macedonia (FYROM)
2025-07-10,"Public Health Officials Warn of Rising Cases of Whooping Cough, ...","Michigan, United States"
2025-06-05,Michigan reports 497 pertussis cases in 2025 - 9&10 News,"Michigan, United States"
2024-12-15,Alarming Rise in Whooping Cough Cases in Michigan as Vaccine Rates - ...,"Michigan, United States"
2024-11-13,Michigan residents warned about increase in pertussis cases - Gladwin ...,"Michigan, United States"
2024-10-24,Whooping cough comes â€˜roaring backâ€™ with 100-plus cases in ...,"Michigan, United States"
2024-09-23,Whooping Cough On The Rise In MI: What To Know About Pertussis - Patch,"Michigan, United States"
2024-06-21,"In Michigan, cases of whooping cough hint at post-pandemic comeback - ...","Michigan, United States"
2024-06-13,Reports of Pertussis (Whooping Cough) Increasing in Washtenaw County ...,"Michigan, United States"
2025-06-18,"Honduras faces measles alert, dengue deaths, and whooping cough cases ...",Honduras
2025-05-15,Health Department reports increase in whooping cough cases in ...,Honduras
2025-05-07,Three cases of whooping cough and one death confirmed in Honduras so ...,Honduras
2025-06-09,"Measles, whooping cough and rubella are spreading in Russia because ...",Russia
2025-06-09,Measles and whooping cough are back: in Russia outbreaks in dozens of ...,Russia
2025-06-07,The keys to the whooping cough outbreak in Mexico - EL PA S,Colombia
2025-05-29,Whooping cough outbreak at Marinilla school triggers health alert - ...,Colombia
2025-05-29,Mexico records 978 confirmed cases of whooping cough and 51 deaths of ...,Colombia
2025-05-22,"Whooping cough in Colombia: what it is, who it affects, and how to ...",Colombia
2025-05-21,Cartagena reports seven confirmed cases of whooping cough: these are ...,Colombia
2025-05-18,Alert in BogotÃ¡ due to increase in whooping cough cases: authorities ...,Colombia
2025-05-14,BogotÃ¡ issues alert due to increase in whooping cough cases: more ...,Colombia
2025-01-09,Antioquia works to contain possible outbreak of whooping cough in ...,Colombia
2025-01-03,Authorities in Antioquia control whooping cough outbreak that ...,Colombia
2024-12-30,Antioquia Governorate provides recommendations regarding possible ...,Colombia
2025-06-04,Evaluate African countries situation and confrontation with cholera ...,Angola
2025-05-29,Ecuador records 6 deaths from yellow fever and 23 from whooping cough ...,Ecuador
2025-05-09,"Eleven deaths from whooping cough confirmed in Ecuador, several of ...",Ecuador
2025-05-09,"Eleven deaths from whooping cough confirmed in Ecuador, several of ...",Ecuador
2025-06-01,"Whooping cough, a virus on the rise in infections and deaths in ...",Ecuador
2025-06-01,"Ecuador records 1,366 cases of whooping cough - El Comercio",Ecuador
2025-05-29,Chimborazo resumes in-person classes under strict protocols after ...,Ecuador
2025-05-26,Chimborazo on orange alert for whooping cough outbreak: 42 cases ...,Ecuador
2025-05-21,In-person classes suspended in four cantons of this province due to a ...,Ecuador
2025-05-20,Classes suspended in four cantons of Riobamba due to whooping cough ...,Ecuador
2025-05-06,Ecuador reports largest whooping cough outbreak in 25 years: ...,Ecuador
2025-04-29,Possible case of whooping cough in a child under 13 is being ...,Ecuador
2025-06-02,Whooping cough in Peru: Does the Ministry of Health rule out class ...,Argentina
2025-05-28,Peru records highest peak of whooping cough cases in the last six ...,Argentina
2025-05-28,"Health Minister laments deaths from whooping cough outbreak, says ...",Argentina
2025-05-27,National Center for Epidemiology reports 642 confirmed cases of ...,Argentina
2025-05-20,Alerta en Lambayeque por primer caso de tos ferina: bebé de dos meses ...,Argentina
2025-04-23,"Faced with the rise in measles and whooping cough, Monreal urges the ...",Argentina
2025-06-01,Chihuahua has recorded 107 cases of whooping cough so far in 2025; ...,"Estado de Chihuahua, Mexico"
2025-05-30,No new cases of measles in Delicias during May - El Sol de MÃ©xico,"Estado de Chihuahua, Mexico"
2025-05-24,"In Mexico, 51 babies have died from whooping cough during 2025 - ...","Estado de Chihuahua, Mexico"
2025-05-23,23 cases of whooping cough and one of measles confirmed in QuerÃ©taro ...,"Estado de Chihuahua, Mexico"
2025-05-09,"94 cases of whooping cough confirmed in Chihuahua, with five deaths - ...","Estado de Chihuahua, Mexico"
2025-05-04,Whooping cough cases are on the rise in JuÃ¡rez; children under one ...,"Estado de Chihuahua, Mexico"
2025-05-31,Whooping cough cases in Piura rise to 10 - noticiaspiura30.pe,Spain
2024-06-17,Alert for a whooping cough epidemic in Europe: Extremadura registers ...,Spain
2024-06-14,"Increase of pertussis cases in the Vall  s region, Catalonia, ...",Spain
2024-03-30,Baby dies of whooping cough in Spain: Health experts warn cases are ...,Spain
2024-03-11,Whooping cough outbreak hits Murcia Â« Euro Weekly News - Euro Weekly ...,Spain
2025-05-30,People are urged not to let their guard down against whooping cough; ...,"Estado de Morelos, Mexico"
2025-05-29,Health authorities urge people to continue protecting themselves from ...,"Estado de Morelos, Mexico"
2025-05-15,Morelos is among the states with the most cases of whooping cough - ...,"Estado de Morelos, Mexico"
2025-04-29,Morelos reports 30 cases of whooping cough amid national outbreak - ...,"Estado de Morelos, Mexico"
2025-05-30,Health alert in Lambayeque? Whooping cough cases on the rise - Soltv ...,Peru
2025-05-30,"Child dies of whooping cough in Lima, and Ministry of Health declares ...",Peru
2025-05-29,The Ministry of Health reports the death of a minor from whooping ...,Peru
2025-05-29,"Moquegua has no cases of whooping cough, but remains on alert - La ...",Peru
2025-05-27,Alert in Chiclayo: Second confirmed case of whooping cough - Soltv ...,Peru
2025-05-27,"Whooping cough: Minister confirms 408 cases, 10 deaths, and urges ...",Peru
2025-05-23,Alert in Tumbes! Suspected cases of whooping cough detected and ...,Peru
2025-05-21,Minsa activa cerco epidemiológico en Lambayeque por caso de tos ...,Peru
2025-05-21,Detectan primer caso de tos ferina en Lambayeque - Exitosa Noticias,Peru
2025-05-20,Alerta en Lambayeque por primer caso de tos ferina: bebé de dos meses ...,Peru
2025-05-07,Peru on the alert over rising whooping cough cases: 596 cases ...,Peru
2025-05-03,Arequipa on alert: up to seven cases of whooping cough confirmed in ...,Peru
2025-05-29,The Ministry of Health confirms two cases of whooping cough in ...,"Estado de Nayarit, Mexico"
2025-05-29,Health alert in Cartagena due to increase in whooping cough cases - ...,Israel
2024-08-06,Researcher warns of whooping cough spike as disease spreads ...,Israel
2024-02-04,Whooping cough outbreak in Israel; go get vaccinated! - Ynetnews,Israel
2024-01-05,"Jerusalem baby dies of whooping cough, mother not vaccinated - The ...",Israel
2023-07-14,Whooping cough outbreak spreads to north with new case in town near ...,Israel
2023-06-21,Israel: Elevated pertussis activity reported in multiple areas ... - ...,Israel
2023-06-05,10-week-old infant in Jerusalem dies of whooping cough - The Times of ...,Israel
2023-06-01,Cases of whooping cough spike among children in Haredi Jerusalem ...,Israel
2025-05-24,Mutant bacteria found on China's Tiangong space station - Azteca ...,China
2025-05-20,"China News Healthä¸¨The national pertussis epidemic is stable, and ...",China
2024-11-12,South Korea's first whooping cough death - China News,China
2024-07-12,"Whooping cough outbreak continues to spread in UK, killing nine ...",China
2024-06-03,Chinaâ€™s Whooping Cough Epidemic Dramatically Worsens - Caixin Global,China
2024-04-10,Whooping Cough Is Surging in China With More Than a Dozen Deaths - ...,China
2023-11-13,Impact of outdoor air pollution on the incidence of pertussis in ...,China
2023-05-03,"Whooping cough, which causes pneumonia, encephalitis and convulsions, ...",China
2025-05-24,Mutant bacteria found on China's Tiangong space station - Azteca ...,"Estado de Aguascalientes, Mexico"
2025-05-01,Aguascalientes Leads Nationwide in Whooping Cough Cases; 3 Deaths ...,"Estado de Aguascalientes, Mexico"
2025-05-23,There are no cases of whooping cough or yellow fever in Armenia - El ...,Armenia
2025-05-23,Armenia has no reported cases of whooping cough or yellow fever.,Armenia
2025-05-22,"Vintage High students, staff possibly exposed to pertussis since ...","San Francisco, California, United States"
2024-04-12,Health experts eye newly reported cases of whooping cough in San ...,"San Francisco, California, United States"
2025-05-20,The number of reported cases has dropped by more than 80% compared ...,"Jinan, Shandong Province, China"
2025-05-20,Case of whooping cough confirmed at Del Valle Elementary School - KVUE,"Delaware, United States"
2025-04-16,APH confirms case of whooping cough at Del Valle High School - KVUE,"Delaware, United States"
2025-05-19,Whooping cough causing concern in Washington state - KOIN.com,"Washington State, United States"
