date,title,place_name
2024-10-25,Whooping cough increasing in Whatcom County; five cases since Oct. 21 ...,"Washington State, United States"
2024-10-17,Washington State University faces a pertussis outbreak. - The Inlander,"Washington State, United States"
2024-10-01,Washington State University reports increase in whooping cough cases ...,"Washington State, United States"
2024-08-20,Whooping cough case confirmed in Walla Walla County - Walla Walla ...,"Washington State, United States"
2024-05-31,Whooping cough is on the rise in Washington state | 1170 KPUG-AM - ...,"Washington State, United States"
2024-03-26,58 cases of whooping cough confirmed in Chelan and Douglas counties - ...,"Washington State, United States"
2024-02-23,Molecular Epidemiology of the Pertussis Epidemic in Washington State ...,"Washington State, United States"
2024-10-25,Whitman County Public Health investigating 37 cases of whooping cough ...,"Moscow, Russia"
2024-10-24,Whooping cough comes ‘roaring back’ with 100-plus cases in Washtenaw ...,"Michigan, United States"
2024-09-23,Whooping Cough On The Rise In MI: What To Know About Pertussis - Patch,"Michigan, United States"
2024-06-21,"In Michigan, cases of whooping cough hint at post-pandemic comeback - ...","Michigan, United States"
2024-06-13,Reports of Pertussis (Whooping Cough) Increasing in Washtenaw County ...,"Michigan, United States"
2024-10-23,Whooping cough on the rise in NJ as flu season arrives. How bad will ...,"New Jersey, United States"
2024-02-15,Case of whooping cough hits High Point NJ high school - ...,"New Jersey, United States"
2024-10-22,Anne Arundel County schools sees whooping cough cases; Know the signs ...,"Maryland, United States"
2024-03-15,Whooping Cough Making A Comback in Maryland - WBAL Radio,"Maryland, United States"
2024-10-22,Whooping cough case confirmed at Cheyenne Mountain High School - KKTV,"Colorado Springs, Colorado, United States"
2024-10-15,CDC reports alarming increase in whooping cough and walking pneumonia ...,United States
2024-10-18,"Whooping cough cases surge in US, Europe post-COVID pandemic - ...",United States
2024-10-11,"Whitman County reports 18 cases of pertussis, all among WSU students ...",United States
2024-10-11,Worst U.S. whooping cough outbreak in a decade has infected thousands ...,United States
2024-10-04,"COVID vaccines, RSV, and whooping cough: What to know - TODAY",United States
2024-10-04,"How to stay healthy this fall: vaccines, RSV, and whooping cough - ...",United States
2024-10-03,"COVID, RSV, flu and whooping cough vaccines available now - Sanford ...",United States
2024-09-30,Winnebago County reports 21 confirmed cases of pertussis - WBAY,United States
2024-09-25,What is whooping cough? - Medical Xpress,United States
2024-09-25,Two Cases of Whooping Cough Reported Among WSU Student Population - ...,United States
2024-09-19,Number of COVID and pertussis cases rising in Eau Claire - WQOW TV ...,United States
2024-09-18,Medford School District sends Health Dept. advisory about whooping ...,United States
2024-09-06,Whooping cough outbreak: Infections have quadrupled in U.S. - ...,United States
2024-06-27,"Outbreak of Chickenpox reported in Warden, whooping cough cases ...",United States
2024-06-19,More cases confirmed in Lexington whooping cough outbreak - WKYT,United States
2024-06-07,"Whooping cough cases increasing across the U.S., CDC says - FOX13 ...",United States
2024-06-03,Whooping Cough Cases Rising Across The US - Videos from The Weather ...,United States
2024-05-29,Nine cases of whooping cough confirmed at Valley View schools - ...,United States
2024-05-20,"Uptake of flu, whooping cough, and COVID-19 vaccines remains low ...",United States
2024-05-20,"Lexington Health Department reports whooping cough outbreak, more ...",United States
2024-05-15,"Whooping cough outbreak spreads in county childcare centers, ...",United States
2024-05-09,Five babies have died with whooping cough this year amid rapid rise ...,United States
2024-05-07,New case of pertussis confirmed in Lexington high school - ...,United States
2024-05-03,North Shore Health Department warns of whooping cough cases in ...,United States
2024-04-29,'Whooping cough' cases confirmed on campus | University Park Campus ...,United States
2024-04-10,"Flu, RSV, and COVID triple whammy of viruses join whooping cough ...",United States
2024-04-05,Whooping cough's back — and it's Covid's fault - POLITICO Europe,United States
2024-04-02,"DOH chief: Pertussis outbreak now under control, but vaccination ...",United States
2024-03-18,Two new cases of pertussis in Kumanovo - Sloboden pechat - Слободен ...,United States
2024-03-19,"CDC reports year's 1st whooping cough, meningococcal meningitis cases ...",United States
2024-03-09,"Five children ended up in hospital, 50 new cases of whooping cough in ...",United States
2024-02-26,Two new cases of pertussis registered in Kumanovo - Sloboden Pechat - ...,United States
2024-10-19,Pertussis Surge in 2024: Why Arizona is at Greater Risk - AZ Public ...,"Arizona, United States"
2024-10-17,Galveston County is nation's latest whooping cough hot spot - Chron,"Texas, United States"
2024-10-17,How bad is WA’s whooping cough outbreak? Cases have reached highest ...,"Western Australia, Australia"
